"HID","median_probs","mean_probs","cilow","cihigh","cisize","standarddev"
16604,0,0.354,0,1,1,0.478448443317473
16643,0,0.236,0,1,1,0.424834655465493
16644,0,0.307,0,1,1,0.461480188051409
16647,1,0.634,0,1,1,0.481950491519903
16648,1,0.686,0,1,1,0.464348597090181
16649,1,0.654,0,1,1,0.475931203547856
16650,0,0.468,0,1,1,0.499224624017311
16651,0,0.34,0,1,1,0.47394580346768
16652,0,0.319,0,1,1,0.466322266738847
16653,0,0.28,0,1,1,0.449223554371097
16654,0,0.264,0,1,1,0.441019839121211
16655,0,0.236,0,1,1,0.424834655465493
16656,0,0.25,0,1,1,0.433229370758364
16657,0,0.229,0,1,1,0.42039949540376
16658,0,0.231,0,1,1,0.421683313419937
16659,0,0.279,0,1,1,0.448731947113597
16660,0,0.358,0,1,1,0.479652026021017
16661,0,0.424,0,1,1,0.494437527366672
16662,0,0.443,0,1,1,0.496988931464271
16663,1,0.544,0,1,1,0.498309454367778
16664,1,0.607,0,1,1,0.488661221901012
16665,1,0.558,0,1,1,0.496873105413125
16666,0,0.485,0,1,1,0.500025024398804
16667,0,0.445,0,1,1,0.497214463005877
16668,0,0.424,0,1,1,0.494437527366672
16669,0,0.31,0,1,1,0.462724663395106
16670,0,0.264,0,1,1,0.441019839121211
16671,0,0.349,0,1,1,0.476892468410255
16672,0,0.352,0,1,1,0.477832946043201
16673,0,0.377,0,1,1,0.484877413483146
16674,0,0.309,0,1,1,0.462312375707954
16675,0,0.262,0,1,1,0.439942666207257
16676,0,0.207,0,1,1,0.40535825551642
16677,0,0.179,0,1,1,0.383544138406659
16678,0,0.129,0,1,1,0.33536766610911
16679,0,0.102,0,1,1,0.302799748493435
16680,0,0.065,0,1,1,0.246649216167082
16681,0,0.054,0,1,1,0.226130792098589
16682,0,0.106,0,1,1,0.307991653878573
16683,0,0.16,0,1,1,0.366789496216201
16684,0,0.331,0,1,1,0.470808518041741
16725,0,0.26,0,1,1,0.438853725736256
16726,0,0.412,0,1,1,0.492441365543654
16728,1,0.638,0,1,1,0.480819287453392
16729,1,0.72,0,1,1,0.449223554371097
16730,1,0.77,0,1,1,0.421043082447957
16731,1,0.548,0,1,1,0.497939699104163
16732,0,0.42,0,1,1,0.49380547166252
16733,0,0.303,0,1,1,0.459785169837395
16734,0,0.298,0,1,1,0.457608353732103
16735,0,0.279,0,1,1,0.448731947113597
16736,0,0.246,0,1,1,0.430894035314565
16737,0,0.242,0,1,1,0.428508599236491
